index,secID,ticker,secShortName,exchangeCD,tradeDate,preClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol
45,000059.XSHE,59,华锦股份,XSHE,2017/12/1,10.16,10.15,10.21,10.07,10.13,10011660
46,000060.XSHE,60,中金岭南,XSHE,2017/12/1,10.83,10.83,10.95,10.73,10.92,19444563
47,000061.XSHE,61,农产品,XSHE,2017/12/1,7.69,7.69,7.75,7.66,7.72,1558260
48,000062.XSHE,62,深圳华强,XSHE,2017/12/1,25.2,24.99,25.41,24.66,25.26,4724144
49,000063.XSHE,63,中兴通讯,XSHE,2017/12/1,33.08,33.3,34.18,33.09,33.56,97851251
50,000065.XSHE,65,北方国际,XSHE,2017/12/1,19.7,19.68,20.05,19.65,19.79,4061680
51,000066.XSHE,66,中国长城,XSHE,2017/12/1,6.76,6.77,7.22,6.74,7.09,46174048
52,000068.XSHE,68,华控赛格,XSHE,2017/12/1,5.66,5.63,5.79,5.61,5.75,4249859
53,000069.XSHE,69,华侨城A,XSHE,2017/12/1,8.89,8.81,9.03,8.75,8.85,28789899
54,000070.XSHE,70,特发信息,XSHE,2017/12/1,10.16,10.2,10.31,10.12,10.3,3545704
55,000078.XSHE,78,海王生物,XSHE,2017/12/1,5.92,5.91,6,5.88,6,29666455
56,000088.XSHE,88,盐田港,XSHE,2017/12/1,8.15,8.17,8.22,8.13,8.13,3733043
57,000089.XSHE,89,深圳机场,XSHE,2017/12/1,8.81,8.82,8.82,8.68,8.77,5144202
58,000090.XSHE,90,天健集团,XSHE,2017/12/1,10.3,10.29,10.43,10.22,10.33,5255187
59,000096.XSHE,96,广聚能源,XSHE,2017/12/1,13.25,13.25,13.53,13.16,13.51,1140569
60,000099.XSHE,99,中信海直,XSHE,2017/12/1,9.65,9.64,9.74,9.56,9.7,2584525
61,000100.XSHE,100,TCL集团,XSHE,2017/12/1,4.18,4.18,4.22,4.13,4.15,89832898
62,000150.XSHE,150,宜华健康,XSHE,2017/12/1,28.05,27.82,29.06,27.8,28.45,1022226
